Job,Type,Application Deadline,Salary
Commissioner of Public Works,Full Time,Open Until Filled,Not Specified
Crossing Guard,Part Time,Open Until Filled,$46.50 per Day
Engineering Technician,Full Time,Open Until Filled,"$42,306.54 per Year"
General Equipment Mechanic,Full Time,Open Until Filled,$23.51 – $27.66 per Hour
Hardware/Software Technician,Full Time,Open Until Filled,"$48,497 per Year"
Junior Accountant,Full Time,Open Until Filled,"$42,840 per Year"
Laboratory Technician (Sanitary Services),Full Time,Open Until Filled,$26.55 – $30.55 per Hour
Tree Trimmer,Full Time,Open Until Filled,$21.38 per Hour
